SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
721,Xiaomi,Redmi Note 2,2015 August,Yes,Removable Li-Po 3060 mAh battery,4.0| A2DP| LE,Octa-core 2.0 GHz Cortex-A53 - Redmi Note 2,Mediatek MT6795 Helio X10,White| blue| yellow| pink| mint green,152 x 76 x 8.3 mm (5.98 x 2.99 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,PowerVR G6200,16 GB,Yes,microSD up to 32 GB (dedicated slot) - Chinese version only,GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| f/2.2| phase detection autofocus| LED flash|,2 GB RAM - Redmi Note 2,Stereo FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP| f/2.0| 720p,Accelerometer| gyro| proximity| compass,Available. Released 2015 August,microUSB 2.0| USB On-The-Go
722,Xiaomi,Mi 2S,2013 April,Yes,Removable Li-Ion 2000 mAh battery,4.0| A2DP,Quad-core 1.7 GHz Krait 300,Qualcomm APQ8064 Snapdragon S4 Pro,Black/white| black/blue| black/yellow| black/green| black/pink,126 x 62 x 10.2 mm (4.96 x 2.44 x 0.40 in),IPS LCD capacitive touchscreen 16M colors,Adreno 320,16/32 GB,Yes,No,GSM / HSPA,Android 4.1 (Jelly Bean)| upgradable to 4.4.4 (KitKat),8 MP| f/2.2 (16 GB version) or 13 MP| f/2.2 (32 GB version)| autofocus| LED flash,2 GB RAM,FM radio,Mini-SIM,2 MP| 1080p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2013 April,microUSB 2.0 (MHL TV-out)| USB Host
723,Xiaomi,Mi 5s,2016 September,Yes,Non-removable 3200 mAh battery,4.2| A2DP| LE,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 821,Silver| Gray| Gold| Rose Gold,145.6 x 70.3 x 8.3 mm (5.73 x 2.77 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 530,64 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,Android 6.0 (Marshmallow),12 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,3 GB RAM or 128 GB| 4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),"4 MP| f/2.0| 1/3"" sensor size| 2�m pixel size| 1080p",Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2016 October,Type-C 1.0 reversible connector
724,Xiaomi,Mi 3,2013 September,Yes,Non-removable Li-Ion 3050 mAh battery,4.0| A2DP,Quad-core 2.3 GHz Krait 400,Qualcomm MSM8274AB Snapdragon 800,White| Gray| Black| Yellow| Pink| Blue| Gold| Green (16 GB),144 x 73.6 x 8.1 mm (5.67 x 2.90 x 0.32 in),IPS LCD capacitive touchscreen 16M colors,Adreno 330,16/64 GB,Yes,No,GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 4.4.2 (KitKat)| planned upgrade to 6.0 (Marshmallow),13 MP| f/2.2| 28mm| autofocus| dual-LED flash|,2 GB RAM,FM radio,Mini-SIM,2 MP| f/2.2| 1080p@30fps,Accelerometer| gyro| proximity| compass| barometer,Available. Released 2013 December,microUSB 2.0| USB Host
725,Xiaomi,Redmi 3 Pro,2016 March,Yes,Non-removable Li-Ion 4100 mAh battery,4.1| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8939v2 Snapdragon 616,Dark Gray| Silver| Gold,139.3 x 69.6 x 8.5 mm (5.48 x 2.74 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 5.1 (Lollipop),13 MP| f/2.0| phase detection autofocus| LED flash|,3 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.2| 1080p@30fps,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 April,microUSB 2.0
726,Xiaomi,Mi Pad 3,2017 April,Yes,Non-removable Li-Po 6600 mAh battery,4.1| A2DP| LE,Hexa-core (3x2.1 GHz Cortex-A72 & 3x1.7 GHz Cortex-A53),Mediatek MT8176,Champagne Gold,200.4 x 132.6 x 7 mm (7.89 x 5.22 x 0.28 in),IPS LCD capacitive touchscreen 16M colors,PowerVR GX6250,64 GB,Yes with stereo speakers,No,No cellular connectivity,Android OS,13 MP| f/2.2,4 GB RAM,To be confirmed,No,5 MP| f/2.0,Accelerometer| gyro| compass,Available. Released 2017 April,Type-C 1.0 reversible connector
727,Xiaomi,Redmi Note 4,2017 January,Yes,Non-removable Li-Po 4100 mAh battery,4.1| A2DP| LE,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Gray| Gold| Black,151 x 76 x 8.5 mm (5.94 x 2.99 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 506,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,2/3 GB RAM or 64 GB| 4 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.0| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2017 January,microUSB 2.0| USB On-The-Go
728,Xiaomi,Mi Mix,2016 October,Yes,Non-removable Li-Ion 4400 mAh battery,4.2| A2DP| LE,Quad-core (2x2.35 GHz Kryo & 2x2.19 GHz Kryo),Qualcomm MSM8996 Snapdragon 821,Black| White,158.8 x 81.9 x 7.9 mm (6.25 x 3.22 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 530,128 GB,Yes,No,GSM / HSPA / LTE,Android 6.0 (Marshmallow)| planned upgrade to 7.0 (Nougat),16 MP| f/2.0| EIS (gyro)| phase detection autofocus| dual-LED (dual tone) flash|,4 GB RAM or 256 GB| 6 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),5 MP,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2016 November,Type-C 1.0 reversible connector
729,Xiaomi,Redmi,2013 July,Yes,Removable Li-Po 2000 mAh battery,4.0| A2DP| LE,Quad-core 1.5 GHz Cortex-A7,Mediatek MT6589T,Black| Chinese Red| Metallic Gray/ blue| green| yellow panels,137 x 69 x 9.9 mm (5.39 x 2.72 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,PowerVR SGX544MP2,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.2 (Jelly Bean),8 MP| f/2.2| 28mm| autofocus| dual-LED flash,1 GB RAM,FM radio,Dual SIM,1.3 MP| 720p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2013 August,microUSB 2.0| USB Host
730,Xiaomi,Mi 6,2017 April,No,Non-removable Li-Po 3350 mAh battery,5.0| A2DP| LE,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Qualcomm MSM8998 Snapdragon 835,Ceramic Black| Black| Blue| White,145.2 x 70.5 x 7.5 mm (5.72 x 2.78 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 540,64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,Android 7.1.1 (Nougat),Dual 12 MP (27mm| f/1.8| OIS 4-axis & 52mm| f/2.6)| phase detection autofocus| dual-LED (dual tone) flash|,6 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),8 MP| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2017 April,Type-C 1.0 reversible connector
731,Xiaomi,Redmi 1S,2014 May,Yes,Removable Li-Ion 2000 mAh battery,4.0| A2DP| LE,Quad-core 1.6 GHz Cortex-A7,Qualcomm MSM8228 Snapdragon 400,Black| Chinese Red| Metallic Gray/ blue| green| yellow panels,137 x 69 x 9.9 mm (5.39 x 2.72 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,8 GB,Yes,microSD up to 64 GB (dedicated slot),GSM / HSPA,Android 4.3 (Jelly Bean)| upgradable to 4.4 (KitKat),8 MP| f/2.2| autofocus| LED flash|,1 GB RAM,FM radio,Dual SIM (Mini-SIM| dual stand-by),1.6 MP| 720p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2014 May,microUSB 2.0| USB Host
732,Xiaomi,Mi Max,2016 May,Yes,Non-removable Li-Ion 4850 mAh battery,4.2| A2DP| LE,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Gray| Silver| Gold,173.1 x 88.3 x 7.5 mm (6.81 x 3.48 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,32/64 GB,Yes,microSD up to 256 GB (uses SIM 1 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 6.0 (Marshmallow),16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,3 GB RAM,FM radio| recording,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),5 MP| f/2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 May,microUSB 2.0| USB Host
733,Xiaomi,Mi 4 LTE,2014 December,Yes,Non-removable Li-Ion 3080 mAh battery,4.0| A2DP,Quad-core 2.5 GHz Krait 400,Qualcomm MSM8974AC Snapdragon 801,White,139.2 x 68.5 x 8.9 mm (5.48 x 2.70 x 0.35 in),IPS LCD capacitive touchscreen 16M colors,Adreno 330,16 GB,Yes,No,GSM / HSPA / LTE,Android 4.4.3 (KitKat),13 MP| f/1.8| autofocus| LED flash,3 GB RAM,FM radio,Micro-SIM,8 MP| f/1.8| 1080p@30fps,Accelerometer| gyro| proximity| compass| barometer,Available. Released 2014 December,microUSB 2.0| USB Host
734,Xiaomi,Redmi Note 4 (MediaTek),2016 August,Yes,Non-removable Li-Po 4100 mAh battery,4.2| A2DP| LE,Deca-core 2.1 GHz,Mediatek MT6797 Helio X20,Silver| Gray| Gold| Blue| Black,151 x 76 x 8.4 mm (5.94 x 2.99 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Mali-T880 MP4,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 6.0 (Marshmallow),13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,2 GB RAM - Standard edition,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.0| 720p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 August,microUSB 2.0| USB On-The-Go
735,Xiaomi,Redmi 3,2016 January,Yes,Non-removable Li-Ion 4100 mAh battery,4.1| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Qualcomm MSM8939v2 Snapdragon 616,Gold| Dark Gray| Silver| Classic Gold,139.3 x 69.6 x 8.5 mm (5.48 x 2.74 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / EVDO / LTE,Android 5.1 (Lollipop),13 MP| f/2.0| phase detection autofocus| LED flash|,2 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.2| 1080p@30fps,Accelerometer| gyro| proximity| compass,Available. Released 2016 January,microUSB 2.0
736,Xiaomi,Redmi Note 3,2016 January,Yes,Non-removable Li-Po 4050 mAh battery,4.1| A2DP| LE,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),Qualcomm MSM8956 Snapdragon 650,Silver| Gray| Gold,150 x 76 x 8.7 mm (5.91 x 2.99 x 0.34 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1.1 (Lollipop)| upgradable to 6.0.1 (Marshmallow),16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,2 GB RAM - Standard version,Stereo FM radio| recording,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),5 MP| f/2.0| 1080p,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 February,microUSB 2.0| USB On-The-Go
737,vivo,Y27,2014 December,Yes,Non-removable Li-Po 2260 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White,136.9 x 68.1 x 7 mm (5.39 x 2.68 x 0.28 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 4.4.4 (KitKat),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| gyro| proximity| compass,Available. Released 2014 December,microUSB 2.0
738,vivo,X5Pro,2015 May,Yes,Non-removable Li-Po 2450 mAh battery,4.0| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Black| White,147.9 x 73.5 x 6.4 mm (5.82 x 2.89 x 0.25 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| f/2.0| phase detection autofocus| LED flash|,2 GB RAM,FM radio,Dual SIM,8 MP| f/2.4| 1080p,Accelerometer| proximity,Available. Released 2015 June,microUSB 2.0| USB Host
739,vivo,V5s,2017 April,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Crown Gold| Matte Black,153.8 x 75.5 x 7.6 mm (6.06 x 2.97 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Mali-T860MP2,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| F/2.2| phase detection autofocus| LED flash,4 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),"20 MP| f/2.0| 1/2.8"" sensor size| 1080p",Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2017 May,microUSB 2.0| USB On-The-Go
740,vivo,Y11,2014 Q4,Yes,Removable Li-Po 1700 mAh battery,4.0| A2DP| EDR,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582&#1052,,White| Black,480 x 800 pixels (~233 ppi pixel density),Yes with A-GPS,Mali-400MP2,4 GB,Yes,(undefined),HSPA 21.1/7.2 Mbps,Android 4.4.4 (KitKat),5 MP| autofocus| LED flash,512 MB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
741,vivo,Xplay5,2016 March,Yes,Non-removable Li-Ion 3600 mAh battery,4.0| A2DP| LE,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Silver| Gold| Rose Gold,153.5 x 76.2 x 7.6 mm (6.04 x 3.00 x 0.30 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 510,128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,Android 5.1 (Lollipop),16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash,4 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),8 MP| f/2.4,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 March,microUSB 2.0| USB On-The-Go
742,vivo,X5,2014,Yes,Non-removable Li-Ion 2250 mAh battery,4.0| A2DP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,White,143.3 x 71.1 x 6.3 mm (5.64 x 2.80 x 0.25 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / LTE,Android 4.4.2 (KitKat),13 MP| autofocus| LED flash,2 GB RAM,To be confirmed,Dual SIM ( X5v| X5s)/ Single SIM (X5L),5 MP,Accelerometer| gyro| proximity| compass,Available. Released 2014,microUSB 2.0| USB Host
743,vivo,X9,2016 November,Yes,Non-removable Li-Ion 3050 mAh battery,4.2| A2DP| LE,Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Gold| Rose Gold,152.6 x 74 x 7 mm (6.01 x 2.91 x 0.28 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 506,64/128 GB,Yes,No,GSM / HSPA / CDMA2000 / LTE,Android 6.0.1 (Marshmallow),16 MP| f/2.0| phase detection autofocus| LED flash,4 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),"Dual 20 MP + 8 MP| f/2.0| 1/2.8"" sensor size| 1080p",Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2016 November,microUSB 2.0| USB Host
744,vivo,V1,2015 July,Yes,Non-removable Li-Po 2300 mAh battery,4.0| A2DP| EDR,Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,White/Gold,143.3 x 71 x 6.8 mm (5.64 x 2.80 x 0.27 in),IPS LCD capacitive touchscreen 16M colors,Adreno 306,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.0 (Lollipop),13 MP| autofocus| LED flash,2 GB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),5 MP,Accelerometer| proximity| compass,Available. Released 2015 July,microUSB 2.0 USB On-The-Go
745,vivo,X6S Plus,2016 March,Yes,Non-removable Li-Ion 3000 mAh battery,4.2| A2DP| LE,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Silver| Gold| Rose Gold,158.4 x 80.1 x 6.9 mm (6.24 x 3.15 x 0.27 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 510,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / CDMA / HSPA / LTE,Android 5.1 (Lollipop),16 MP| f/2.0| phase detection autofocus| LED flash,4 GB RAM,FM radio,Dual SIM,8 MP,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 April,microUSB 2.0| USB Host
746,vivo,X3S,2014,Yes,Non-removable Li-Po 2000 mAh battery,4.0| A2DP| EDR,Octa-core 1.7 GHz Cortex-A7,Mediatek MT6592,White| Blue,143.3 x 71 x 6 mm (5.64 x 2.80 x 0.24 in),IPS LCD capacitive touchscreen 16M colors,Mali-450MP4,16 GB,Yes,No,GSM / HSPA,Android 4.2.2 (Jelly Bean),13 MP| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM (Micro-SIM/Nano-SIM| dual stand-by),Yes,Accelerometer| gyro| proximity| compass,Available. Released 2014,microUSB 2.0| USB Host
747,vivo,Xplay6,2016 November,Yes,Non-removable Li-Ion 4080 mAh battery,4.2| A2DP| LE,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Gold| Rose Gold,153.8 x 73.6 x 8.4 mm (6.06 x 2.90 x 0.33 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 530,128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,Android 6.0.1 (Marshmallow),Dual 12 MP| f/1.7 + 5 MP| OIS (4-axis)| phase detection autofocus| dual-LED (dual tone) flash,6 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),16 MP| f/2.0| 1.0 �m pixel size| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 December,microUSB 2.0| USB On-The-Go
748,vivo,X5Max,2014 December,Yes,Non-removable Li-Po 2300 mAh battery,4.0| A2DP,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,White,153.9 x 78 x 5.1 mm (6.06 x 3.07 x 0.20 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 405,16 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 4.4.4 (KitKat),13 MP| f/2.0| autofocus| LED flash|,2 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM),5 MP| f/2.4,Accelerometer| gyro| proximity| compass,Available. Released 2014 December,microUSB 2.0| USB Host
749,vivo,Y15,2013,Yes,Removable Li-Ion 1900 mAh battery,4.0| A2DP| EDR| LE,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,White| Black,131.4 x 66.2 x 9 mm (5.17 x 2.61 x 0.35 in),Capacitive touchscreen 16M colors,Mali-400MP2,4 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 4.2.2 (Jelly Bean),5 MP| autofocus| LED flash,512 MB RAM,FM radio,Dual SIM (Micro-SIM| dual stand-by),2 MP,Accelerometer| proximity| compass,Available. Released 2013,microUSB 2.0
750,vivo,X7 Plus,2016 June,Yes,Non-removable Li-Ion 4000 mAh battery,4.0| A2DP,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Gold| Rose Gold,158.9 x 78 x 7.5 mm (6.26 x 3.07 x 0.30 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 510,64 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / CDMA2000 / LTE,Android 5.1 (Lollipop),16 MP| f/2.0| phase detection autofocus| LED flash,4 GB RAM,No,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),16 MP| f/2.0| LED flash,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 July,microUSB 2.0| USB Host
751,vivo,X9 Plus,2016 November,Yes,Non-removable Li-Ion 4000 mAh battery,4.2| A2DP| LE,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 653,Gold| Rose Gold,162 x 79 x 7.5 mm (6.38 x 3.11 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,64 GB,Yes,No,GSM / HSPA / EVDO / LTE,Android 6.0.1 (Marshmallow),16 MP| f/2.0| phase detection autofocus| LED flash,6 GB RAM,No,Dual SIM (Nano-SIM| dual stand-by),"Dual 20 MP + 8 MP| f/2.0| 1/2.8"" sensor size| 1080p",Fingerprint (front-mounted)| accelerometer| proximity| compass,Available. Released 2016 December,microUSB 2.0| USB Host
752,vivo,X5Max Platinum Edition,2015 June,Yes,Non-removable Li-Po 4150 mAh battery,4.0| A2DP,Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,White,153.9 x 78 x 7.3 mm (6.06 x 3.07 x 0.29 in),Super AMOLED capacitive touchscreen 16M colors,Mali-T760MP2,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 4.4.4 (KitKat),13 MP| autofocus| LED flash,3 GB RAM,To be confirmed,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),5 MP,Accelerometer| gyro| proximity| compass,Available. Released 2015 June,microUSB 2.0| USB Host
753,vivo,V5 Lite,2017 January,Yes,Non-removable Li-Ion 3000 mAh battery,4.0| A2DP,Octa-core,(undefined),Crown Gold| Rose Gold,153.8 x 75.5 x 7.6 mm (6.06 x 2.97 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,(undefined),32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 6.0 (Marshmallow),13 MP| f/2.2| autofocus| LED flash,3 GB RAM,FM radio,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),16 MP| f/2.0| 1080p,Accelerometer| proximity| compass,Available. Released 2017 February,microUSB 2.0| USB On-The-Go
754,vivo,Xplay5 Elite,2016 March,Yes,Non-removable Li-Ion 3600 mAh battery,4.2| A2DP| LE,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Silver| Gold| Rose Gold,153.5 x 76.2 x 7.6 mm (6.04 x 3.00 x 0.30 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 530,128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,Android 6.0 (Marshmallow),16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,6 GB RAM,FM radio,Dual SIM (Nano-SIM| dual stand-by),8 MP| f/2.4,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 March,microUSB 2.0| USB On-The-Go
755,vivo,Y31,2015 September,Yes,Removable Li-Po 2100 mAh battery,Yes,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580,White| Black,137.2 x 68.8 x 8.4 mm (5.40 x 2.71 x 0.33 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 5.1 (Lollipop),8 MP| LED flash,1 GB RAM,FM radio,Dual SIM,2 MP,Accelerometer| proximity| compass,Available. Released 2015 October,microUSB 2.0
756,vivo,Xshot,2014,Yes,Non-removable Li-Po 2600 mAh battery,4.0| A2DP| EDR,Quad-core 2.3 GHz Krait 400,Qualcomm MSM8974AA Snapdragon 801,White/Black,146.5 x 73.3 x 8 mm (5.77 x 2.89 x 0.31 in),IPS LCD capacitive touchscreen 16M colors,Adreno 330,16 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 4.3 (Jelly Bean),13 MP| autofocus| OIS| dual-LED flash|,2 GB RAM/ 32 GB| 3 GB RAM,No,Micro-SIM,8 MP| LED flash,Accelerometer| gyro| proximity| compass,Available. Released 2014,microUSB 2.0| USB Host
757,vivo,Y28,2014 December,Yes,Removable Li-Po 2100 mAh battery,4.0| A2DP| EDR,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,White,137.4 x 68.6 x 9.8 mm (5.41 x 2.70 x 0.39 in),IPS LCD capacitive touchscreen 16M colors,Mali-400MP2,8 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA,Android 4.2.2 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,FM radio,Micro-SIM,5 MP,Accelerometer| proximity| compass,Available. Released 2014 December,microUSB 2.0
758,vivo,V3Max,2016 April,Yes,Non-removable Li-Ion 3000 mAh battery,4.1| A2DP| LE,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 652,Gold,153.9 x 77.1 x 7.6 mm (6.06 x 3.04 x 0.30 in),IPS LCD capacitive touchscreen 16M colors,Adreno 510,32 GB,Yes,microSD up to 256 GB (uses SIM 2 slot),GSM / HSPA / LTE,Android 5.1 (Lollipop),13 MP| phase detection autofocus| LED flash|,4 GB RAM,FM radio,Dual SIM,8 MP,Fingerprint (rear-mounted)| accelerometer| gyro| proximity,Available. Released 2016 April,microUSB 2.0| USB Host
